gsis_id,player,position,team,year_signed,years,fa_year,apy,total_value,total_guaranteed,guarantee_pct,draft_round,draft_overall,draft_year,inflated_apy
00-0036879,Sam Ehlinger,QB,Broncos,2026,1.0,2027.0,2000000.0,2000000.0,1000000.0,0.5,6.0,218.0,2021.0,2.0
00-0036887,Luke Farrell,TE,49ers,2025,3.0,2028.0,5250000.0,15750000.0,6000000.0,0.38095238095238093,5.0,145.0,2021.0,5.663682
00-0036894,Pat Freiermuth,TE,Steelers,2024,4.0,2028.0,12100000.0,48400000.0,11600000.0,0.2396694214876033,2.0,55.0,2021.0,14.269851
00-0036898,Davis Mills,QB,Texans,2025,1.0,2026.0,7000000.0,7000000.0,10250000.0,1.0,3.0,67.0,2021.0,7.551576
00-0036900,Ja'Marr Chase,WR,Bengals,2025,4.0,2029.0,40250000.0,161000000.0,73900000.0,0.45900621118012425,1.0,5.0,2021.0,43.421562
00-0036912,DeVonta Smith,WR,Eagles,2024,3.0,2027.0,25000000.0,75000000.0,33997554.0,0.45330072,1.0,10.0,2021.0,29.483164
00-0036919,Kenneth Gainwell,RB,Buccaneers,2026,2.0,2028.0,7000000.0,14000000.0,9830000.0,0.7021428571428572,5.0,150.0,2021.0,7.0
00-0036945,Justin Fields,QB,Chiefs,2025,1.0,2026.0,11000000.0,11000000.0,11000000.0,1.0,1.0,11.0,2021.0,11.866762
00-0036955,Terrace Marshall Jr.,WR,Dolphins,2026,1.0,2027.0,1215000.0,1215000.0,0.0,0.0,2.0,59.0,2021.0,1.215
00-0036959,Michael Bandy,WR,Broncos,2026,1.0,2027.0,1085000.0,1085000.0,10000.0,0.009216589861751152,,,2021.0,1.085
00-0036963,Amon-Ra St. Brown,WR,Lions,2024,4.0,2028.0,30002500.0,120010000.0,34666000.0,0.28885926172818926,4.0,112.0,2021.0,35.382745
00-0036970,Kyle Pitts,TE,Falcons,2026,1.0,2027.0,15045000.0,15045000.0,0.0,0.0,1.0,4.0,2021.0,15.045
00-0036971,Trevor Lawrence,QB,Jaguars,2024,5.0,2029.0,55000000.0,275000000.0,142000000.0,0.5163636363636364,1.0,1.0,2021.0,64.86296
00-0036972,Mac Jones,QB,49ers,2025,2.0,2027.0,3500000.0,7000000.0,4750000.0,0.6785714285714286,1.0,15.0,2021.0,3.775788
00-0036973,Travis Etienne,RB,Saints,2026,4.0,2030.0,11750000.0,47000000.0,24000000.0,0.5106382978723404,1.0,25.0,2021.0,11.75
00-0036988,Josh Palmer,WR,Bills,2025,3.0,2028.0,10000000.0,30000000.0,15000000.0,0.5,3.0,77.0,2021.0,10.787966
00-0036997,Javonte Williams,RB,Cowboys,2026,3.0,2029.0,8000000.0,24000000.0,16000000.0,0.6666666666666666,2.0,35.0,2021.0,8.0
